block_index,offset,size,ascii_count,serial_candidates,zero_count,ff_count,numeric_candidates_count
589,41230,70,0,,16,4,66
590,41300,70,0,,16,4,66
591,41370,70,0,,16,4,66
592,41440,70,0,,17,4,66
593,41510,70,0,,16,4,66
594,41580,70,0,,16,4,66
595,41650,70,0,,16,4,66
596,41720,70,0,,16,4,66
597,41790,70,0,,16,4,66
598,41860,70,0,,16,4,66
599,41930,70,0,,16,4,66
600,42000,70,0,,16,4,66
601,42070,70,0,,16,4,66
602,42140,70,0,,16,4,66
603,42210,70,0,,16,4,66
604,42280,70,0,,16,4,66
605,42350,70,0,,17,4,66
606,42420,70,0,,16,4,66
607,42490,70,0,,16,4,66
608,42560,70,0,,16,4,66
609,42630,70,0,,16,4,66
610,42700,70,0,,16,5,66
611,42770,70,0,,16,5,66
612,42840,70,0,,16,5,66
613,42910,70,0,,16,4,66
614,42980,70,0,,16,4,66
615,43050,70,0,,16,4,66
616,43120,70,0,,16,4,66
617,43190,70,0,,17,4,66
618,43260,70,0,,16,4,66
619,43330,70,0,,16,4,66
620,43400,70,0,,16,4,66
621,43470,70,0,,16,4,66
622,43540,70,0,,16,4,66
623,43610,70,0,,16,4,66
624,43680,70,0,,16,4,66
625,43750,70,0,,16,4,66
626,43820,70,0,,16,4,66
627,43890,70,0,,16,5,66
628,43960,70,0,,16,4,66
629,44030,70,0,,16,4,66
630,44100,70,0,,16,4,66
631,44170,70,0,,16,4,66
632,44240,70,0,,16,4,66
633,44310,70,0,,17,5,66
634,44380,70,0,,16,4,66
635,44450,70,0,,16,4,66
636,44520,70,0,,16,4,66
637,44590,70,0,,16,4,66
638,44660,70,0,,16,4,66
639,44730,70,0,,16,4,66
640,44800,70,0,,16,4,66
641,44870,70,0,,16,4,66
642,44940,70,0,,16,4,66
643,45010,70,0,,16,4,66
644,45080,70,0,,16,4,66
645,45150,70,0,,16,4,66
646,45220,70,0,,16,4,66
647,45290,70,0,,16,4,66
648,45360,70,0,,16,4,66
649,45430,70,0,,16,4,66
650,45500,70,0,,16,5,66
651,45570,70,0,,17,4,66
652,45640,70,0,,16,4,66
653,45710,70,0,,17,4,66
654,45780,70,0,,16,4,66
655,45850,70,0,,16,4,66
656,45920,70,0,,16,4,66
657,45990,70,0,,16,4,66
658,46060,70,0,,16,4,66
659,46130,70,0,,16,4,66
660,46200,70,0,,16,4,66
661,46270,70,0,,19,4,66
662,46340,70,0,,19,4,66
663,46410,70,0,,19,5,66
664,46480,70,0,,19,4,66
665,46550,70,0,,19,4,66
666,46620,70,0,,19,4,66
667,46690,70,0,,19,4,66
668,46760,70,0,,19,4,66
669,46830,70,0,,19,4,66
670,46900,70,0,,19,4,66
671,46970,70,0,,19,4,66
672,47040,70,0,,19,4,66
673,47110,70,0,,19,4,66
674,47180,70,0,,19,4,66
675,47250,70,0,,19,4,66
676,47320,70,0,,19,4,66
677,47390,70,0,,19,4,66
678,47460,70,0,,21,4,66
679,47530,70,0,,26,4,66
680,47600,70,0,,28,4,66
